SOA,Education Skills and Training Domain Rank,Proportion of pupils attending Special Schools or attending primary school with Special Education Needs Stages 3-5 (Rank),Absenteeism at Primary Schools (Rank),Proportion of school leavers not achieving at least five GCSEs at English and Maths (Rank),Proportion of those leaving school aged 16 17 and 18 not entering Education Employment or Training (Rank),Proportion of 18-21 year olds who have not enrolled in Higher Education Courses at Higher Education or Further Education establishments (Rank),Proportion of pupils attending Special Schools or who are attending post-primary schools with Special Education Needs Stages 3-5 (Rank),Absenteeism at post-primary schools (Rank),Proportion of working age adults (25-64) with no or low levels of qualification (Rank),Proportion of pupils attending Special Schools or attending primary school with Special Education Needs Stages 3-5 (%),Absenteeism at Primary Schools (% of possible attendance),Proportion of school leavers not achieving five or more GCSEs (and equivalent) incl. English and Maths (%),Proportion of those leaving school aged 16 17 and 18 not entering Education Employment or Training (%),Proportion of 18-21 year olds who have not enrolled in Higher Education Courses at Higher or Further Education establishments (%),Proportion of pupils attending Special Schools or who are attending post-primary schools with Special Education Needs Stages 3-5 (%),Absenteeism at post-primary schools (% of possible attendance),Proportions of working age adults (25-64) with no or low levels of qualification (%)
Abbey 1,269,224,239,266,58,568,643,89,569,11,5.3,41.4,7.9,59.4,6.4,9.6,31.4
Abbey 2,354,380,324,816,188,57,564,198,422,9.3,4.9,13.9,4.6,84.3,7,8.2,36.7
Abbey Park,362,250,405,525,618,448,371,333,259,10.6,4.4,28.8,1.4,62.9,8.9,7,42
Academy,777,708,454,762,377,840,651,798,689,6.5,4.3,18.3,2.8,45.9,6.3,4.5,26.7
Aghagallon 1,577,390,684,617,213,572,454,542,550,9.2,3.5,25.5,4.3,59.2,8,5.8,32
Aghagallon 2,658,770,699,619,753,456,778,622,603,5.8,3.5,25.4,0.7,62.7,4.9,5.4,30.3
Aghanloo 1,598,745,436,462,732,810,781,483,493,6.2,4.3,31.6,0.8,48.5,4.9,6.1,33.9
Aghanloo 2,544,840,696,242,731,679,551,486,496,4.7,3.5,43.3,0.8,55.5,7.2,6.1,33.8
Agivey,676,622,848,494,647,547,386,788,500,7.4,2.9,30.2,1.2,59.9,8.8,4.5,33.7
Ahoghill 1,392,882,312,514,292,263,450,381,371,3.1,4.9,29.5,3.5,69.9,8.1,6.6,38.4
Ahoghill 2,677,744,681,691,510,397,881,681,536,6.2,3.5,21.3,2,64.6,2.6,5.2,32.6
Aldergrove 1,254,82,281,246,203,6,507,420,722,14,5.1,42.9,4.4,91.5,7.6,6.4,25.3
Aldergrove 2,749,725,769,712,353,682,602,733,704,6.3,3.3,20.7,3,55.5,6.8,4.9,26.1
Aldergrove 3,690,854,813,421,571,346,510,775,737,4.3,3.1,33.5,1.6,66.2,7.5,4.6,24.5
Altmore,435,846,604,424,135,459,360,557,211,4.5,3.7,33.4,5.6,62.7,9,5.7,44
Altnagelvin 1,85,557,257,49,240,80,54,151,53,7.9,5.2,63.4,4,81.5,15.8,8.8,56.6
Altnagelvin 2,611,439,266,699,227,560,614,694,692,8.8,5.2,21,4.2,59.7,6.7,5.1,26.5
Altnagelvin 3,488,135,560,621,357,566,419,481,403,12.2,3.9,25.3,2.9,59.5,8.4,6.1,37.1
Andersonstown 1,387,68,205,317,822,558,435,605,379,14.3,5.6,38.3,0,59.7,8.3,5.5,37.9
Andersonstown 2,228,122,56,441,42,565,447,202,201,12.5,7,32.6,9,59.5,8.1,8.2,44.7
Andersonstown 3,295,217,256,614,73,334,611,183,289,11.1,5.2,25.7,6.9,66.7,6.7,8.4,41
Annagh 1,582,805,299,599,833,659,508,411,622,5.4,5,26,0,56.3,7.6,6.5,29.6
Annagh 2,110,767,148,51,306,8,853,83,221,5.9,5.9,62.9,3.3,90.7,3.5,9.7,43.7
Annalong 1,441,236,574,321,702,344,712,531,436,10.8,3.8,38.2,1,66.2,5.7,5.9,36.2
Annalong 2,282,191,615,145,886,206,461,284,244,11.5,3.7,51.2,0,73.4,8,7.5,42.6
Antiville,160,66,233,273,850,217,56,48,175,14.4,5.4,41.2,0,72.7,15.7,10.4,46
Ardboe,258,448,400,130,221,443,545,370,141,8.7,4.5,52,4.2,63,7.3,6.7,47.7
Ardeevin,650,762,752,432,270,692,493,575,747,6,3.3,33.1,3.7,55.1,7.7,5.6,24.2
Ardglass 1,175,44,306,144,248,202,73,136,353,15.6,5,51.2,3.9,73.6,14.9,9,39.2
Ardglass 2,474,200,767,594,209,265,184,572,423,11.3,3.3,26.4,4.4,69.8,11.8,5.6,36.6
Ardoyne 1,58,195,269,35,33,71,103,178,25,11.5,5.1,66,9.4,83.1,13.8,8.5,61.5
Ardoyne 2,39,54,241,28,120,52,187,94,16,14.9,5.3,67.3,5.8,84.9,11.8,9.5,64.3
Ardoyne 3,19,20,153,15,28,61,74,50,14,17.5,5.9,70.4,9.7,84.1,14.9,10.4,64.7
Armoy and Moss-Side and Moyarget,423,870,420,460,408,264,663,565,223,3.5,4.4,31.7,2.6,69.9,6.2,5.7,43.5
Artigarvan,281,534,524,222,481,275,498,323,179,8.1,4,44.9,2.1,69.4,7.7,7.1,45.9
Atlantic,305,325,213,290,210,722,109,99,668,9.8,5.5,40,4.4,53.6,13.6,9.5,27.9
Audley's Acre,531,21,445,502,589,738,151,521,733,17.5,4.3,30,1.5,53.2,12.5,5.9,24.7
Augher,699,436,837,795,852,787,290,405,492,8.8,3,16.1,0,50.2,9.9,6.5,33.9
